transaction_id,date,client_id,items,total_amount,status,payment_type,deposit_amount,remaining_amount
1010,05/03/2025,5004,"[{""denomination"": ""CHAISE NAPOLEON"", ""reference"": ""FR0005"", ""Quantity"": 1, ""Price"": 6000, ""Color"": ""golden"", ""Image"": ""/Users/h.boukhalfa/Desktop/catafactuappfull/catafactu/pos_system/images/CHAIR/CHAISE_NAPOLEON/FR0005_GOLDEN.jpg"", ""category"": ""CHAIR""}, {""denomination"": ""PARASOL 2.50*2.50 "", ""reference"": ""UK0013"", ""Quantity"": 1, ""Price"": 62500, ""Color"": ""brown"", ""Image"": null, ""category"": ""MISCELLANEOUS""}]",68500,proforma,Proforma,0,0
1011,05/03/2025,5005,"[{""denomination"": ""PARASOL 2.50*2.50 "", ""reference"": ""UK0013"", ""Quantity"": 1, ""Price"": 62500, ""Color"": ""brown"", ""Image"": null, ""category"": ""MISCELLANEOUS""}, {""denomination"": ""Chaise Medaillon"", ""reference"": ""ME1000"", ""Quantity"": 1, ""Price"": 11000, ""Color"": ""golden"", ""Image"": ""/Users/h.boukhalfa/Desktop/catafactuappfull/catafactu/pos_system/images/CHAIR/Chaise_Medaillon/ME1000_GOLDEN.png"", ""category"": ""CHAIR""}]",73500,proforma,Proforma,0,0
1012,05/03/2025,5005,"[{""denomination"": ""Chaise Medaillon"", ""reference"": ""ME1000"", ""Quantity"": 1, ""Price"": 11000, ""Color"": ""golden"", ""Image"": ""/Users/h.boukhalfa/Desktop/catafactuappfull/catafactu/pos_system/images/CHAIR/Chaise_Medaillon/ME1000_GOLDEN.png"", ""category"": ""CHAIR""}]",11000,proforma,Proforma,0,0
1013,05/03/2025,5005,"[{""denomination"": ""Chaise Medaillon"", ""reference"": ""ME1000"", ""Quantity"": 1, ""Price"": 11000, ""Color"": ""golden"", ""Image"": ""/Users/h.boukhalfa/Desktop/catafactuappfull/catafactu/pos_system/images/CHAIR/Chaise_Medaillon/ME1000_GOLDEN.png"", ""category"": ""CHAIR""}]",11000,proforma,Proforma,0,0
1014,05/03/2025,5004,"[{""denomination"": ""CHAISE NAPOLEON"", ""reference"": ""FR0005"", ""Quantity"": 1, ""Price"": 6000, ""Color"": ""golden"", ""Image"": ""/Users/h.boukhalfa/Desktop/catafactuappfull/catafactu/pos_system/images/CHAIR/CHAISE_NAPOLEON/FR0005_GOLDEN.jpg"", ""category"": ""CHAIR""}, {""denomination"": ""Chaise Medaillon"", ""reference"": ""ME1000"", ""Quantity"": 1, ""Price"": 11000, ""Color"": ""golden"", ""Image"": ""/Users/h.boukhalfa/Desktop/catafactuappfull/catafactu/pos_system/images/CHAIR/Chaise_Medaillon/ME1000_GOLDEN.png"", ""category"": ""CHAIR""}]",17000,proforma,Proforma,0,0
1015,05/03/2025,5004,"[{""denomination"": ""CHAISE NAPOLEON"", ""reference"": ""FR0005"", ""Quantity"": 1, ""Price"": 6000, ""Color"": ""golden"", ""Image"": ""/Users/h.boukhalfa/Desktop/catafactuappfull/catafactu/pos_system/images/CHAIR/CHAISE_NAPOLEON/FR0005_GOLDEN.jpg"", ""category"": ""CHAIR""}, {""denomination"": ""Chaise Medaillon"", ""reference"": ""ME1000"", ""Quantity"": 1, ""Price"": 11000, ""Color"": ""golden"", ""Image"": ""/Users/h.boukhalfa/Desktop/catafactuappfull/catafactu/pos_system/images/CHAIR/Chaise_Medaillon/ME1000_GOLDEN.png"", ""category"": ""CHAIR""}]",17000,proforma,Proforma,0,0
1016,05/03/2025,5004,"[{""denomination"": ""CHAISE NAPOLEON"", ""reference"": ""FR0005"", ""Quantity"": 1, ""Price"": 6000, ""Color"": ""golden"", ""Image"": ""/Users/h.boukhalfa/Desktop/catafactuappfull/catafactu/pos_system/images/CHAIR/CHAISE_NAPOLEON/FR0005_GOLDEN.jpg"", ""category"": ""CHAIR""}, {""denomination"": ""Chaise Medaillon"", ""reference"": ""ME1000"", ""Quantity"": 1, ""Price"": 11000, ""Color"": ""golden"", ""Image"": ""/Users/h.boukhalfa/Desktop/catafactuappfull/catafactu/pos_system/images/CHAIR/Chaise_Medaillon/ME1000_GOLDEN.png"", ""category"": ""CHAIR""}]",17000,proforma,Proforma,0,0
1017,05/03/2025,5005,"[{""denomination"": ""Chaise Medaillon"", ""reference"": ""ME1000"", ""Quantity"": 1, ""Price"": 11000, ""Color"": ""golden"", ""Image"": ""/Users/h.boukhalfa/Desktop/catafactuappfull/catafactu/pos_system/images/CHAIR/Chaise_Medaillon/ME1000_GOLDEN.png"", ""category"": ""CHAIR""}]",11000,proforma,Proforma,0,0
1018,05/03/2025,5004,"[{""denomination"": ""CHAISE NAPOLEON"", ""reference"": ""FR0005"", ""Quantity"": 1, ""Price"": 6000, ""Color"": ""golden"", ""Image"": ""/Users/h.boukhalfa/Desktop/catafactuappfull/catafactu/pos_system/images/CHAIR/CHAISE_NAPOLEON/FR0005_GOLDEN.jpg"", ""category"": ""CHAIR""}]",6000,proforma,Proforma,0,0
1019,05/03/2025,5002,"[{""denomination"": ""Chaise Medaillon"", ""reference"": ""ME1000"", ""Quantity"": 1, ""Price"": 11000, ""Color"": ""golden"", ""Image"": ""/Users/h.boukhalfa/Desktop/catafactuappfull/catafactu/pos_system/images/CHAIR/Chaise_Medaillon/ME1000_GOLDEN.png"", ""category"": ""CHAIR""}]",11000,proforma,Proforma,0,0
